É_ÉEÉìÉçÅ[ÉhÇµÇΩéûçèÅF2015/06/15 02:34:20

,ïxéR,ïxéR,ïxéR,ïxéR,ïxéR,ïxéR,ïxéR,ïxéR,ïxéR,ïxéR,ïxéR,ïxéR,ïxéR,ïxéR,ïxéR,ïxéR,ïxéR,ïxéR,ïxéR,ïxéR,ïxéR,ïxéR,ïxéR,ïxéR,ïxéR
1998/10/3 11:00:00,22.4,8,1,0,1,8,1,0.4,0,8,1,3.5,8,ñkñkìå,8,1,1.60,8,1,69,8,1,18.6,8,1
1998/10/3 12:00:00,23.3,8,1,0,1,8,1,0.8,0,8,1,3.4,8,ñk,8,1,2.44,8,1,68,8,1,19.5,8,1
1998/10/3 13:00:00,23.4,8,1,0,1,8,1,0.8,0,8,1,4.0,8,ñkñkìå,8,1,2.45,8,1,66,8,1,19.0,8,1
1998/10/3 14:00:00,22.5,8,1,0,1,8,1,0,1,8,1,3.8,8,ñkñkìå,8,1,0.92,8,1,69,8,1,18.8,8,1
1998/10/3 15:00:00,22.6,8,1,0,1,8,1,0,1,8,1,3.0,8,ñkñkìå,8,1,0.75,8,1,72,8,1,19.7,8,1
1998/10/3 16:00:00,22.1,8,1,0,1,8,1,0,1,8,1,3.0,8,ñkñkìå,8,1,0.29,8,1,73,8,1,19.4,8,1
1998/10/3 17:00:00,21.7,8,1,0,1,8,1,0,1,8,1,2.3,8,ñkìå,8,1,0.20,8,1,75,8,1,19.5,8,1
1998/10/3 18:00:00,21.7,8,1,0,1,8,1,0,1,8,1,1.5,8,ñkñkêº,8,1,0.01,8,1,76,8,1,19.7,8,1
1998/10/3 19:00:00,21.3,8,1,0,1,8,1,,,0,1,0.3,8,ñkñkêº,8,1,0.00,8,1,82,8,1,20.8,8,1
1998/10/3 20:00:00,20.7,8,1,0,1,8,1,,,0,1,2.1,8,êºìÏêº,8,1,,0,1,85,8,1,20.8,8,1
1998/10/3 21:00:00,19.7,8,1,0,1,8,1,,,0,1,2.7,8,ìÏêº,8,1,,0,1,86,8,1,19.7,8,1
1998/10/3 22:00:00,19.1,8,1,0,1,8,1,,,0,1,2.7,8,ìÏêº,8,1,,0,1,87,8,1,19.2,8,1
1998/10/3 23:00:00,18.5,8,1,0,1,8,1,,,0,1,2.2,8,ìÏêº,8,1,,0,1,89,8,1,19.0,8,1
1998/10/4 00:00:00,18.0,8,1,0,1,8,1,,,0,1,2.0,8,ìÏêº,8,1,,0,1,89,8,1,18.4,8,1
1998/10/4 1:00:00,18.2,8,1,0,1,8,1,,,0,1,2.1,8,ìÏêº,8,1,,0,1,89,8,1,18.6,8,1
1998/10/4 2:00:00,18.5,8,1,0.0,0,8,1,,,0,1,1.9,8,ìÏêº,8,1,,0,1,87,8,1,18.5,8,1
1998/10/4 3:00:00,18.4,8,1,0.0,0,8,1,,,0,1,2.1,8,ìÏêº,8,1,,0,1,89,8,1,18.9,8,1
1998/10/4 4:00:00,18.2,8,1,0.0,0,8,1,,,0,1,1.7,8,ìÏêº,8,1,,0,1,90,8,1,18.8,8,1
1998/10/4 5:00:00,18.0,8,1,0,1,8,1,,,0,1,2.2,8,ìÏêº,8,1,,0,1,90,8,1,18.5,8,1
1998/10/4 6:00:00,17.9,8,1,0,1,8,1,0,1,8,1,2.2,8,ìÏêº,8,1,0.01,8,1,91,8,1,18.6,8,1
1998/10/4 7:00:00,18.6,8,1,0,1,8,1,0.4,0,8,1,1.7,8,ìÏêº,8,1,0.21,8,1,91,8,1,19.5,8,1
1998/10/4 8:00:00,20.9,8,1,0,1,8,1,1.0,0,8,1,2.2,8,ìÏìÏêº,8,1,0.94,8,1,83,8,1,20.5,8,1
1998/10/4 9:00:00,23.1,8,1,0,1,8,1,1.0,0,8,1,0.9,8,ìÏ,8,1,1.55,8,1,67,8,1,18.9,8,1
1998/10/4 10:00:00,22.6,8,1,0,1,8,1,0.7,0,8,1,3.0,8,ñk,8,1,1.85,8,1,66,8,1,18.1,8,1
1998/10/4 11:00:00,22.0,8,1,0.0,0,8,1,0.4,0,8,1,7.7,8,ñkñkìå,8,1,1.73,8,1,68,8,1,17.9,8,1
1998/10/4 12:00:00,21.5,8,1,0,1,8,1,0.2,0,8,1,7.1,8,ñkìå,8,1,1.72,8,1,64,8,1,16.4,8,1
1998/10/4 13:00:00,21.2,8,1,0,1,8,1,0.4,0,8,1,6.4,8,ñkìå,8,1,1.80,8,1,62,8,1,15.6,8,1
1998/10/4 14:00:00,21.0,8,1,0,1,8,1,0,1,8,1,6.6,8,ñkìå,8,1,1.03,8,1,63,8,1,15.7,8,1
1998/10/4 15:00:00,20.5,8,1,0,1,8,1,0,1,8,1,5.5,8,ñkìå,8,1,0.73,8,1,62,8,1,15.0,8,1
1998/10/4 16:00:00,20.2,8,1,0,1,8,1,0,1,8,1,5.3,8,ñkìå,8,1,0.40,8,1,70,8,1,16.6,8,1
1998/10/4 17:00:00,19.5,8,1,0,1,8,1,0,1,8,1,4.7,8,ñkñkìå,8,1,0.19,8,1,69,8,1,15.7,8,1
1998/10/4 18:00:00,18.5,8,1,0,1,8,1,0,1,8,1,4.1,8,ñkñkìå,8,1,0.02,8,1,68,8,1,14.5,8,1
1998/10/4 19:00:00,18.6,8,1,0,1,8,1,,,0,1,3.8,8,ñkìå,8,1,0.00,8,1,67,8,1,14.4,8,1
1998/10/4 20:00:00,18.4,8,1,0,1,8,1,,,0,1,3.2,8,ñkìå,8,1,,0,1,67,8,1,14.2,8,1
1998/10/4 21:00:00,18.2,8,1,0,1,8,1,,,0,1,2.0,8,ñkìå,8,1,,0,1,69,8,1,14.4,8,1
1998/10/4 22:00:00,17.4,8,1,0,1,8,1,,,0,1,1.3,8,ìåñkìå,8,1,,0,1,73,8,1,14.5,8,1
1998/10/4 23:00:00,18.4,8,1,0,1,8,1,,,0,1,1.4,8,ìÏìÏêº,8,1,,0,1,67,8,1,14.2,8,1
1998/10/5 00:00:00,17.8,8,1,0,1,8,1,,,0,1,1.8,8,ñkñkìå,8,1,,0,1,71,8,1,14.5,8,1
1998/10/5 1:00:00,15.9,8,1,0,1,8,1,,,0,1,1.5,8,ñkìå,8,1,,0,1,84,8,1,15.2,8,1
1998/10/5 2:00:00,15.5,8,1,0,1,8,1,,,0,1,2.3,8,ìÏìÏêº,8,1,,0,1,87,8,1,15.3,8,1
1998/10/5 3:00:00,14.9,8,1,0,1,8,1,,,0,1,1.3,8,ìÏ,8,1,,0,1,87,8,1,14.8,8,1
1998/10/5 4:00:00,14.8,8,1,0,1,8,1,,,0,1,2.1,8,ìÏìÏêº,8,1,,0,1,86,8,1,14.5,8,1
1998/10/5 5:00:00,14.4,8,1,0,1,8,1,,,0,1,2.1,8,ìÏêº,8,1,,0,1,88,8,1,14.4,8,1
1998/10/5 6:00:00,14.5,8,1,0,1,8,1,0,1,8,1,2.3,8,ìÏêº,8,1,0.00,8,1,87,8,1,14.4,8,1
1998/10/5 7:00:00,15.3,8,1,0,1,8,1,0.5,0,8,1,1.6,8,ìÏìÏêº,8,1,0.26,8,1,86,8,1,15.0,8,1
1998/10/5 8:00:00,17.4,8,1,0,1,8,1,0.8,0,8,1,1.5,8,ìÏêº,8,1,0.81,8,1,77,8,1,15.3,8,1
1998/10/5 9:00:00,19.6,8,1,0,1,8,1,1.0,0,8,1,1.4,8,ìåñkìå,8,1,1.14,8,1,67,8,1,15.3,8,1
1998/10/5 10:00:00,20.8,8,1,0,1,8,1,0.9,0,8,1,3.5,8,ñkñkìå,8,1,1.97,8,1,64,8,1,15.7,8,1
1998/10/5 11:00:00,21.6,8,1,0,1,8,1,1.0,0,8,1,3.5,8,ñkìå,8,1,2.33,8,1,61,8,1,15.8,8,1
1998/10/5 12:00:00,21.9,8,1,0,1,8,1,1.0,0,8,1,4.0,8,ñkñkìå,8,1,2.06,8,1,65,8,1,17.0,8,1
1998/10/5 13:00:00,21.6,8,1,0,1,8,1,1.0,0,8,1,3.0,8,ñkñkìå,8,1,1.95,8,1,65,8,1,16.7,8,1
1998/10/5 14:00:00,21.4,8,1,0,1,8,1,0.9,0,8,1,2.3,8,ñkñkìå,8,1,1.77,8,1,67,8,1,17.0,8,1
1998/10/5 15:00:00,21.2,8,1,0,1,8,1,0.5,0,8,1,2.4,8,ñkñkìå,8,1,1.07,8,1,68,8,1,17.2,8,1
1998/10/5 16:00:00,21.0,8,1,0,1,8,1,0.3,0,8,1,2.2,8,ñkñkìå,8,1,0.67,8,1,69,8,1,17.2,8,1
1998/10/5 17:00:00,20.8,8,1,0,1,8,1,0.9,0,8,1,1.5,8,ñk,8,1,0.38,8,1,71,8,1,17.5,8,1
1998/10/5 18:00:00,19.9,8,1,0,1,8,1,0,1,8,1,1.5,8,ñkñkêº,8,1,0.02,8,1,77,8,1,17.9,8,1
1998/10/5 19:00:00,19.1,8,1,0,1,8,1,,,0,1,0.5,8,ñk,8,1,0.00,8,1,83,8,1,18.4,8,1
1998/10/5 20:00:00,18.4,8,1,0,1,8,1,,,0,1,1.7,8,ìÏêº,8,1,,0,1,87,8,1,18.4,8,1
1998/10/5 21:00:00,17.7,8,1,0,1,8,1,,,0,1,2.4,8,ìÏêº,8,1,,0,1,89,8,1,18.1,8,1
1998/10/5 22:00:00,17.3,8,1,0,1,8,1,,,0,1,2.4,8,êºìÏêº,8,1,,0,1,90,8,1,17.7,8,1
1998/10/5 23:00:00,16.4,8,1,0,1,8,1,,,0,1,1.2,8,ìÏ,8,1,,0,1,92,8,1,17.2,8,1
1998/10/6 00:00:00,16.4,8,1,0,1,8,1,,,0,1,1.6,8,ìÏêº,8,1,,0,1,91,8,1,16.9,8,1
1998/10/6 1:00:00,16.3,8,1,0,1,8,1,,,0,1,1.5,8,êºìÏêº,8,1,,0,1,92,8,1,17.0,8,1
1998/10/6 2:00:00,15.9,8,1,0,1,8,1,,,0,1,1.5,8,ìÏêº,8,1,,0,1,92,8,1,16.6,8,1
1998/10/6 3:00:00,16.2,8,1,0,1,8,1,,,0,1,1.7,8,ìÏìÏêº,8,1,,0,1,92,8,1,16.9,8,1
1998/10/6 4:00:00,16.4,8,1,0,1,8,1,,,0,1,1.0,8,ìÏêº,8,1,,0,1,92,8,1,17.2,8,1
1998/10/6 5:00:00,16.5,8,1,0,1,8,1,,,0,1,1.2,8,êºñkêº,8,1,,0,1,91,8,1,17.0,8,1
1998/10/6 6:00:00,16.0,8,1,0,1,8,1,0,1,8,1,0.5,8,ñkìå,8,1,0.00,8,1,95,8,1,17.3,8,1
1998/10/6 7:00:00,17.2,8,1,0,1,8,1,0.1,0,8,1,0.4,8,ñkñkêº,8,1,0.16,8,1,91,8,1,17.8,8,1
1998/10/6 8:00:00,19.6,8,1,0,1,8,1,0.8,0,8,1,0.9,8,ñk,8,1,0.69,8,1,82,8,1,18.6,8,1
1998/10/6 9:00:00,21.2,8,1,0,1,8,1,0.8,0,8,1,1.2,8,ìåñkìå,8,1,1.30,8,1,77,8,1,19.4,8,1
1998/10/6 10:00:00,23.6,8,1,0,1,8,1,0.9,0,8,1,1.4,8,ñkìå,8,1,1.82,8,1,68,8,1,19.9,8,1
1998/10/6 11:00:00,24.7,8,1,0,1,8,1,0.9,0,8,1,2.4,8,ñkñkìå,8,1,2.14,8,1,63,8,1,19.6,8,1
1998/10/6 12:00:00,25.3,8,1,0,1,8,1,1.0,0,8,1,2.9,8,ñkñkìå,8,1,2.00,8,1,61,8,1,19.6,8,1
1998/10/6 13:00:00,25.3,8,1,0,1,8,1,0.9,0,8,1,2.8,8,ñkñkìå,8,1,1.85,8,1,68,8,1,22.0,8,1
1998/10/6 14:00:00,25.7,8,1,0,1,8,1,1.0,0,8,1,2.7,8,ñkìå,8,1,2.04,8,1,64,8,1,21.2,8,1
1998/10/6 15:00:00,25.8,8,1,0,1,8,1,1.0,0,8,1,2.8,8,ñkñkìå,8,1,1.61,8,1,62,8,1,20.6,8,1
1998/10/6 16:00:00,25.1,8,1,0,1,8,1,0.8,0,8,1,2.1,8,ñkñkìå,8,1,0.86,8,1,66,8,1,21.0,8,1
1998/10/6 17:00:00,23.6,8,1,0,1,8,1,0,1,8,1,2.8,8,ñkñkìå,8,1,0.22,8,1,70,8,1,20.4,8,1
1998/10/6 18:00:00,22.8,8,1,0,1,8,1,0,1,8,1,2.8,8,ñkìå,8,1,0.02,8,1,76,8,1,21.0,8,1
1998/10/6 19:00:00,22.8,8,1,0,1,8,1,,,0,1,0.9,8,ñkìå,8,1,,0,1,74,8,1,20.5,8,1
1998/10/6 20:00:00,21.8,8,1,0,1,8,1,,,0,1,2.0,8,êº,8,1,,0,1,80,8,1,20.9,8,1
1998/10/6 21:00:00,21.7,8,1,0,1,8,1,,,0,1,2.5,8,ìÏìÏêº,8,1,,0,1,83,8,1,21.6,8,1
1998/10/6 22:00:00,20.9,8,1,0,1,8,1,,,0,1,2.7,8,êºìÏêº,8,1,,0,1,87,8,1,21.6,8,1
1998/10/6 23:00:00,20.1,8,1,0,1,8,1,,,0,1,1.9,8,ìÏêº,8,1,,0,1,89,8,1,20.9,8,1
1998/10/7 00:00:00,19.4,8,1,0,1,8,1,,,0,1,1.9,8,ìÏêº,8,1,,0,1,90,8,1,20.2,8,1
1998/10/7 1:00:00,19.1,8,1,0,1,8,1,,,0,1,1.5,8,êºìÏêº,8,1,,0,1,91,8,1,20.1,8,1
1998/10/7 2:00:00,18.8,8,1,0,1,8,1,,,0,1,1.8,8,ìÏìÏêº,8,1,,0,1,91,8,1,19.7,8,1
1998/10/7 3:00:00,17.9,8,1,0,1,8,1,,,0,1,1.0,8,ìÏ,8,1,,0,1,94,8,1,19.2,8,1
1998/10/7 4:00:00,18.6,8,1,0,1,8,1,,,0,1,1.0,8,êºìÏêº,8,1,,0,1,91,8,1,19.5,8,1
1998/10/7 5:00:00,18.4,8,1,0,1,8,1,,,0,1,1.3,8,ìÏ,8,1,,0,1,92,8,1,19.5,8,1
1998/10/7 6:00:00,18.6,8,1,0,1,8,1,0,1,8,1,0.8,8,êºñkêº,8,1,0.00,8,1,90,8,1,19.2,8,1
1998/10/7 7:00:00,19.1,8,1,0,1,8,1,0,1,8,1,1.0,8,ìÏêº,8,1,0.09,8,1,87,8,1,19.2,8,1
1998/10/7 8:00:00,19.7,8,1,0,1,8,1,0,1,8,1,1.2,8,ìÏ,8,1,0.23,8,1,86,8,1,19.7,8,1
1998/10/7 9:00:00,20.4,8,1,0,1,8,1,0,1,8,1,1.1,8,ìÏêº,8,1,0.36,8,1,85,8,1,20.4,8,1
1998/10/7 10:00:00,21.4,8,1,0.0,0,8,1,0,1,8,1,1.2,8,ñkêº,8,1,0.31,8,1,79,8,1,20.1,8,1
1998/10/7 11:00:00,22.0,8,1,0.0,0,8,1,0,1,8,1,0.9,8,ìÏêº,8,1,0.38,8,1,77,8,1,20.4,8,1
1998/10/7 12:00:00,22.0,8,1,0.0,0,8,1,0,1,8,1,1.5,8,ñkêº,8,1,0.42,8,1,76,8,1,20.1,8,1
1998/10/7 13:00:00,21.3,8,1,0.0,0,8,1,0,1,8,1,1.5,8,ñkñkìå,8,1,0.31,8,1,85,8,1,21.6,8,1
1998/10/7 14:00:00,21.1,8,1,0.0,0,8,1,0,1,8,1,0.9,8,ñkìå,8,1,0.23,8,1,87,8,1,21.8,8,1
1998/10/7 15:00:00,21.1,8,1,0.5,0,8,1,0,1,8,1,1.1,8,ñkìå,8,1,0.31,8,1,91,8,1,22.8,8,1
1998/10/7 16:00:00,20.7,8,1,0.0,0,8,1,0,1,8,1,1.0,8,ìåñkìå,8,1,0.28,8,1,89,8,1,21.7,8,1
1998/10/7 17:00:00,20.2,8,1,0.0,0,8,1,0,1,8,1,2.3,8,ìå,8,1,0.04,8,1,92,8,1,21.8,8,1
1998/10/7 18:00:00,20.0,8,1,1.0,0,8,1,0,1,8,1,2.1,8,ìÏìÏêº,8,1,0.00,8,1,93,8,1,21.7,8,1
1998/10/7 19:00:00,19.8,8,1,1.0,0,8,1,,,0,1,1.9,8,ìÏêº,8,1,,0,1,93,8,1,21.4,8,1
1998/10/7 20:00:00,19.0,8,1,0.0,0,8,1,,,0,1,2.7,8,ìÏìÏêº,8,1,,0,1,92,8,1,20.2,8,1
1998/10/7 21:00:00,18.7,8,1,0.0,0,8,1,,,0,1,0.8,8,ñkêº,8,1,,0,1,94,8,1,20.2,8,1
1998/10/7 22:00:00,18.6,8,1,0.0,0,8,1,,,0,1,1.5,8,ìåìÏìå,8,1,,0,1,92,8,1,19.7,8,1
1998/10/7 23:00:00,18.0,8,1,1.5,0,8,1,,,0,1,1.1,8,ìÏìå,8,1,,0,1,95,8,1,19.6,8,1
1998/10/8 00:00:00,18.1,8,1,3.0,0,8,1,,,0,1,1.3,8,ìÏìå,8,1,,0,1,94,8,1,19.5,8,1
1998/10/8 1:00:00,17.8,8,1,6.5,0,8,1,,,0,1,1.4,8,ìÏìÏìå,8,1,,0,1,96,8,1,19.6,8,1
1998/10/8 2:00:00,17.5,8,1,8.0,0,8,1,,,0,1,2.3,8,ìÏêº,8,1,,0,1,96,8,1,19.2,8,1
1998/10/8 3:00:00,17.5,8,1,5.0,0,8,1,,,0,1,2.0,8,ìÏêº,8,1,,0,1,96,8,1,19.2,8,1
1998/10/8 4:00:00,17.5,8,1,1.5,0,8,1,,,0,1,2.7,8,êºìÏêº,8,1,,0,1,96,8,1,19.2,8,1
1998/10/8 5:00:00,18.0,8,1,0.5,0,8,1,,,0,1,3.6,8,êºìÏêº,8,1,,0,1,95,8,1,19.6,8,1
1998/10/8 6:00:00,18.6,8,1,0.0,0,8,1,0,1,8,1,3.4,8,êº,8,1,0.00,8,1,94,8,1,20.1,8,1
1998/10/8 7:00:00,18.9,8,1,0.5,0,8,1,0,1,8,1,2.9,8,êºìÏêº,8,1,0.03,8,1,93,8,1,20.2,8,1
1998/10/8 8:00:00,18.8,8,1,0.5,0,8,1,0,1,8,1,2.9,8,ìÏìÏêº,8,1,0.05,8,1,94,8,1,20.4,8,1
1998/10/8 9:00:00,19.5,8,1,2.5,0,8,1,0,1,8,1,2.6,8,êºìÏêº,8,1,0.14,8,1,94,8,1,21.3,8,1
1998/10/8 10:00:00,19.5,8,1,2.5,0,8,1,0,1,8,1,3.4,8,êº,8,1,0.38,8,1,93,8,1,21.0,8,1
1998/10/8 11:00:00,19.5,8,1,0.5,0,8,1,0,1,8,1,0.4,8,ìÏìÏêº,8,1,0.56,8,1,91,8,1,20.6,8,1
1998/10/8 12:00:00,19.3,8,1,0.0,0,8,1,0,1,8,1,2.3,8,ìÏìÏêº,8,1,0.38,8,1,90,8,1,20.1,8,1
1998/10/8 13:00:00,20.0,8,1,1.0,0,8,1,0,1,8,1,2.7,8,ìÏìÏêº,8,1,0.49,8,1,92,8,1,21.6,8,1
1998/10/8 14:00:00,20.2,8,1,0.0,0,8,1,0,1,8,1,3.5,8,ìÏìÏêº,8,1,0.54,8,1,90,8,1,21.3,8,1
1998/10/8 15:00:00,21.2,8,1,0,1,8,1,0.9,0,8,1,3.3,8,ìÏ,8,1,1.58,8,1,79,8,1,19.9,8,1
1998/10/8 16:00:00,20.2,8,1,0,1,8,1,0.7,0,8,1,2.5,8,ìÏ,8,1,0.83,8,1,76,8,1,17.9,8,1
1998/10/8 17:00:00,20.1,8,1,0,1,8,1,0.1,0,8,1,1.6,8,êºìÏêº,8,1,0.17,8,1,82,8,1,19.2,8,1
1998/10/8 18:00:00,19.2,8,1,0,1,8,1,0,1,8,1,1.5,8,êºìÏêº,8,1,0.00,8,1,86,8,1,19.1,8,1
1998/10/8 19:00:00,17.7,8,1,0,1,8,1,,,0,1,1.8,8,ìÏìÏêº,8,1,,0,1,89,8,1,18.1,8,1
1998/10/8 20:00:00,18.5,8,1,0,1,8,1,,,0,1,1.8,8,ìÏêº,8,1,,0,1,89,8,1,19.0,8,1
1998/10/8 21:00:00,18.1,8,1,0,1,8,1,,,0,1,1.3,8,ìÏêº,8,1,,0,1,90,8,1,18.6,8,1
1998/10/8 22:00:00,17.2,8,1,0,1,8,1,,,0,1,1.6,8,ìÏìÏêº,8,1,,0,1,93,8,1,18.3,8,1
1998/10/8 23:00:00,17.2,8,1,0,1,8,1,,,0,1,2.3,8,ìÏìÏêº,8,1,,0,1,93,8,1,18.3,8,1
1998/10/9 00:00:00,16.6,8,1,0,1,8,1,,,0,1,2.2,8,ìÏìÏêº,8,1,,0,1,95,8,1,17.9,8,1
1998/10/9 1:00:00,16.2,8,1,0,1,8,1,,,0,1,2.5,8,ìÏêº,8,1,,0,1,93,8,1,17.2,8,1
1998/10/9 2:00:00,15.2,8,1,0,1,8,1,,,0,1,1.2,8,ìÏêº,8,1,,0,1,95,8,1,16.4,8,1
1998/10/9 3:00:00,15.7,8,1,0,1,8,1,,,0,1,2.2,8,ìÏêº,8,1,,0,1,95,8,1,16.9,8,1
1998/10/9 4:00:00,16.2,8,1,0.0,0,8,1,,,0,1,1.4,8,ìÏêº,8,1,,0,1,94,8,1,17.3,8,1
