É_ÉEÉìÉçÅ[ÉhÇµÇΩéûçèÅF2015/06/15 08:34:07

,åFñ{,åFñ{,åFñ{,åFñ{,åFñ{,åFñ{,åFñ{,åFñ{,åFñ{,åFñ{,åFñ{,åFñ{,åFñ{,åFñ{,åFñ{,åFñ{,åFñ{,åFñ{,åFñ{,åFñ{,åFñ{,åFñ{,åFñ{,åFñ{,åFñ{
2008/12/3 11:00:00,15.2,8,1,0,1,8,1,1.0,0,8,1,0.7,8,ìÏ,8,1,1.59,8,1,61,8,1,10.5,8,1
2008/12/3 12:00:00,17.0,8,1,0,1,8,1,0.9,0,8,1,1.6,8,ìÏìÏìå,8,1,1.71,8,1,55,8,1,10.7,8,1
2008/12/3 13:00:00,18.3,8,1,0,1,8,1,1.0,0,8,1,1.3,8,ìÏìå,8,1,1.96,8,1,54,8,1,11.4,8,1
2008/12/3 14:00:00,17.8,8,1,0,1,8,1,1.0,0,8,1,0.9,8,ìåìÏìå,8,1,1.81,8,1,54,8,1,11.0,8,1
2008/12/3 15:00:00,18.4,8,1,0,1,8,1,0.8,0,8,1,2.1,8,ñk,8,1,1.28,8,1,53,8,1,11.2,8,1
2008/12/3 16:00:00,18.0,8,1,0,1,8,1,1.0,0,8,1,1.5,8,ñkñkêº,8,1,0.86,8,1,52,8,1,10.7,8,1
2008/12/3 17:00:00,16.2,8,1,0,1,8,1,0.4,0,8,1,0.8,8,ñkêº,8,1,0.21,8,1,65,8,1,12.0,8,1
2008/12/3 18:00:00,14.1,8,1,0,1,8,1,0.0,0,8,1,1.4,8,ñkêº,8,1,0.00,8,1,74,8,1,11.9,8,1
2008/12/3 19:00:00,13.1,8,1,0,1,8,1,0,1,8,1,1.4,8,ñkìå,8,1,0,8,1,78,8,1,11.8,8,1
2008/12/3 20:00:00,11.7,8,1,0,1,8,1,0,1,8,1,2.7,8,ñkñkêº,8,1,0,8,1,78,8,1,10.7,8,1
2008/12/3 21:00:00,10.8,8,1,0,1,8,1,0,1,8,1,0.7,8,ñk,8,1,0,8,1,84,8,1,10.9,8,1
2008/12/3 22:00:00,10.3,8,1,0,1,8,1,0,1,8,1,0.1,8,ê√â∏,8,1,0,8,1,86,8,1,10.8,8,1
2008/12/3 23:00:00,9.4,8,1,0,1,8,1,0,1,8,1,0.9,8,ñkêº,8,1,0,8,1,88,8,1,10.4,8,1
2008/12/4 00:00:00,9.7,8,1,0,1,8,1,0,1,8,1,1.0,8,ñkñkêº,8,1,0,8,1,87,8,1,10.5,8,1
2008/12/4 1:00:00,8.6,8,1,0,1,8,1,0,1,8,1,0.3,8,ìÏìÏêº,8,1,0,8,1,90,8,1,10.1,8,1
2008/12/4 2:00:00,8.2,8,1,0,1,8,1,0,1,8,1,1.1,8,ñkìå,8,1,0,8,1,91,8,1,9.9,8,1
2008/12/4 3:00:00,7.6,8,1,0,1,8,1,0,1,8,1,0.6,8,ìåñkìå,8,1,0,8,1,92,8,1,9.6,8,1
2008/12/4 4:00:00,7.1,8,1,0,1,8,1,0,1,8,1,2.2,8,ñkêº,8,1,0,8,1,92,8,1,9.3,8,1
2008/12/4 5:00:00,7.3,8,1,0,1,8,1,0,1,8,1,1.9,8,ñkñkêº,8,1,0,8,1,91,8,1,9.3,8,1
2008/12/4 6:00:00,7.2,8,1,0,1,8,1,0,1,8,1,1.3,8,ìå,8,1,0,8,1,91,8,1,9.2,8,1
2008/12/4 7:00:00,6.7,8,1,0,1,8,1,0,1,8,1,2.6,8,ñkñkêº,8,1,0.00,8,1,92,8,1,9.0,8,1
2008/12/4 8:00:00,7.7,8,1,0,1,8,1,0.5,0,8,1,1.9,8,ñk,8,1,0.15,8,1,89,8,1,9.4,8,1
2008/12/4 9:00:00,9.2,8,1,0,1,8,1,0.4,0,8,1,0.8,8,ñkìå,8,1,0.42,8,1,83,8,1,9.7,8,1
2008/12/4 10:00:00,12.0,8,1,0,1,8,1,0.6,0,8,1,0.6,8,ìåìÏìå,8,1,1.09,8,1,73,8,1,10.2,8,1
2008/12/4 11:00:00,13.2,8,1,0,1,8,1,0.0,0,8,1,1.6,8,ñkñkêº,8,1,0.57,8,1,72,8,1,10.9,8,1
2008/12/4 12:00:00,14.5,8,1,0,1,8,1,0.0,0,8,1,1.1,8,ìÏìå,8,1,0.72,8,1,66,8,1,10.9,8,1
2008/12/4 13:00:00,16.4,8,1,0,1,8,1,0.1,0,8,1,0.7,8,ñkñkêº,8,1,1.04,8,1,57,8,1,10.6,8,1
2008/12/4 14:00:00,17.7,8,1,0,1,8,1,0.3,0,8,1,0.9,8,êºñkêº,8,1,1.11,8,1,53,8,1,10.7,8,1
2008/12/4 15:00:00,18.8,8,1,0,1,8,1,0.6,0,8,1,0.7,8,ñkêº,8,1,1.09,8,1,49,8,1,10.6,8,1
2008/12/4 16:00:00,18.4,8,1,0,1,8,1,0.0,0,8,1,1.3,8,êºñkêº,8,1,0.43,8,1,55,8,1,11.6,8,1
2008/12/4 17:00:00,17.7,8,1,0,1,8,1,0.0,0,8,1,1.0,8,ìÏìÏêº,8,1,0.08,8,1,62,8,1,12.6,8,1
2008/12/4 18:00:00,16.7,8,1,0,1,8,1,0.0,0,8,1,0.5,8,ìÏìÏêº,8,1,0.00,8,1,69,8,1,13.1,8,1
2008/12/4 19:00:00,16.1,8,1,0,1,8,1,0,1,8,1,1.0,8,ñkìå,8,1,0,8,1,71,8,1,13.0,8,1
2008/12/4 20:00:00,15.7,8,1,0,1,8,1,0,1,8,1,0.3,8,ñk,8,1,0,8,1,73,8,1,13.0,8,1
2008/12/4 21:00:00,15.0,8,1,0,1,8,1,0,1,8,1,0.9,8,ìåñkìå,8,1,0,8,1,76,8,1,13.0,8,1
2008/12/4 22:00:00,14.6,8,1,0.0,0,8,1,0,1,8,1,2.2,8,ñkêº,8,1,0,8,1,80,8,1,13.3,8,1
2008/12/4 23:00:00,15.1,8,1,10.0,0,8,1,0,1,8,1,3.7,8,ìÏêº,8,1,0,8,1,93,8,1,16.0,8,1
2008/12/5 00:00:00,15.0,8,1,5.0,0,8,1,0,1,8,1,2.3,8,ìÏêº,8,1,0,8,1,94,8,1,16.0,8,1
2008/12/5 1:00:00,15.2,8,1,5.0,0,8,1,0,1,8,1,2.5,8,êºñkêº,8,1,0,8,1,90,8,1,15.5,8,1
2008/12/5 2:00:00,14.0,8,1,3.0,0,8,1,0,1,8,1,5.7,8,êºñkêº,8,1,0,8,1,87,8,1,13.9,8,1
2008/12/5 3:00:00,11.6,8,1,3.0,0,8,1,0,1,8,1,6.4,8,ñkêº,8,1,0,8,1,83,8,1,11.3,8,1
2008/12/5 4:00:00,9.7,8,1,2.0,0,8,1,0,1,8,1,3.7,8,ñkêº,8,1,0,8,1,84,8,1,10.1,8,1
2008/12/5 5:00:00,9.1,8,1,3.0,0,8,1,0,1,8,1,0.8,8,ñkñkìå,8,1,0,8,1,89,8,1,10.3,8,1
2008/12/5 6:00:00,8.2,8,1,2.0,0,8,1,0,1,8,1,0.7,8,ìåñkìå,8,1,0,8,1,89,8,1,9.7,8,1
2008/12/5 7:00:00,8.7,8,1,0.5,0,8,1,0,1,8,1,4.4,8,ñkêº,8,1,0.00,8,1,79,8,1,8.9,8,1
2008/12/5 8:00:00,9.0,8,1,0.5,0,8,1,0.0,0,8,1,5.3,8,ñkêº,8,1,0.02,8,1,73,8,1,8.4,8,1
2008/12/5 9:00:00,8.9,8,1,0,1,8,1,0.0,0,8,1,1.9,8,ñkñkêº,8,1,0.19,8,1,77,8,1,8.8,8,1
2008/12/5 10:00:00,9.5,8,1,0,1,8,1,0.0,0,8,1,3.5,8,ñkêº,8,1,0.51,8,1,67,8,1,8.0,8,1
2008/12/5 11:00:00,9.3,8,1,0.0,0,8,1,0.0,0,8,1,6.9,8,ñkêº,8,1,0.63,8,1,65,8,1,7.6,8,1
2008/12/5 12:00:00,9.2,8,1,0.0,0,8,1,0.0,0,8,1,6.6,8,ñkêº,8,1,0.59,8,1,65,8,1,7.6,8,1
2008/12/5 13:00:00,8.6,8,1,0.0,0,8,1,0.1,0,8,1,8.1,8,ñkêº,8,1,0.75,8,1,65,8,1,7.3,8,1
2008/12/5 14:00:00,9.1,8,1,0.0,0,8,1,0.2,0,8,1,7.1,8,ñkêº,8,1,0.99,8,1,59,8,1,6.8,8,1
2008/12/5 15:00:00,7.9,8,1,0.0,0,8,1,0.0,0,8,1,3.4,8,ñkêº,8,1,0.38,8,1,68,8,1,7.2,8,1
2008/12/5 16:00:00,7.6,8,1,0.0,0,8,1,0.0,0,8,1,2.6,8,ñkêº,8,1,0.30,8,1,66,8,1,6.9,8,1
2008/12/5 17:00:00,6.7,8,1,0.0,0,8,1,0.0,0,8,1,4.6,8,ñkêº,8,1,0.15,8,1,73,8,1,7.2,8,1
2008/12/5 18:00:00,5.8,8,1,0.0,0,8,1,0.0,0,8,1,2.0,8,ñk,8,1,0.00,8,1,79,8,1,7.3,8,1
2008/12/5 19:00:00,5.5,8,1,0.0,0,8,1,0,1,8,1,4.0,8,ñkêº,8,1,0,8,1,77,8,1,7.0,8,1
2008/12/5 20:00:00,5.9,8,1,0,1,8,1,0,1,8,1,1.6,8,êº,8,1,0,8,1,70,8,1,6.5,8,1
2008/12/5 21:00:00,5.9,8,1,0.0,0,8,1,0,1,8,1,2.1,8,ñkêº,8,1,0,8,1,69,8,1,6.4,8,1
2008/12/5 22:00:00,4.9,8,1,0.0,0,8,1,0,1,8,1,2.2,8,ñk,8,1,0,8,1,76,8,1,6.6,8,1
2008/12/5 23:00:00,4.5,8,1,0.0,0,8,1,0,1,8,1,2.3,8,ñkñkêº,8,1,0,8,1,75,8,1,6.3,8,1
2008/12/6 00:00:00,4.7,8,1,0,1,8,1,0,1,8,1,3.6,8,ñkñkêº,8,1,0,8,1,65,8,1,5.6,8,1
2008/12/6 1:00:00,4.6,8,1,0,1,8,1,0,1,8,1,3.7,8,ñkñkêº,8,1,0,8,1,63,8,1,5.3,8,1
2008/12/6 2:00:00,4.3,8,1,0,1,8,1,0,1,8,1,4.8,8,ñkñkêº,8,1,0,8,1,67,8,1,5.6,8,1
2008/12/6 3:00:00,3.8,8,1,0,1,8,1,0,1,8,1,3.1,8,ñk,8,1,0,8,1,66,8,1,5.3,8,1
2008/12/6 4:00:00,3.4,8,1,0,1,8,1,0,1,8,1,2.6,8,ñkñkêº,8,1,0,8,1,70,8,1,5.5,8,1
2008/12/6 5:00:00,3.1,8,1,0,1,8,1,0,1,8,1,2.2,8,ñk,8,1,0,8,1,73,8,1,5.6,8,1
2008/12/6 6:00:00,2.9,8,1,0,1,8,1,0,1,8,1,1.3,8,ñk,8,1,0,8,1,74,8,1,5.6,8,1
2008/12/6 7:00:00,3.1,8,1,0,1,8,1,0,1,8,1,2.0,8,ñkñkìå,8,1,0.00,8,1,75,8,1,5.7,8,1
2008/12/6 8:00:00,3.3,8,1,0.0,0,8,1,0.0,0,8,1,0.4,8,ìå,8,1,0.08,8,1,72,8,1,5.6,8,1
2008/12/6 9:00:00,4.4,8,1,0.0,0,8,1,0.3,0,8,1,2.5,8,ñkñkìå,8,1,0.53,8,1,68,8,1,5.7,8,1
2008/12/6 10:00:00,5.3,8,1,0.0,0,8,1,0.8,0,8,1,3.9,8,ñk,8,1,1.21,8,1,60,8,1,5.3,8,1
2008/12/6 11:00:00,5.0,8,1,0.0,0,8,1,0.5,0,8,1,4.0,8,ñk,8,1,1.22,8,1,60,8,1,5.2,8,1
2008/12/6 12:00:00,4.1,8,1,0.0,0,8,1,0.0,0,8,1,4.8,8,ñkñkìå,8,1,0.44,8,1,66,8,1,5.4,8,1
2008/12/6 13:00:00,4.5,8,1,0.0,0,8,1,0.1,0,8,1,4.1,8,ñk,8,1,0.78,8,1,60,8,1,5.1,8,1
2008/12/6 14:00:00,5.4,8,1,0,1,8,1,0.5,0,8,1,6.0,8,ñkñkêº,8,1,1.40,8,1,56,8,1,5.0,8,1
2008/12/6 15:00:00,4.4,8,1,0,1,8,1,0.8,0,8,1,5.1,8,ñk,8,1,1.53,8,1,57,8,1,4.8,8,1
2008/12/6 16:00:00,3.6,8,1,0,1,8,1,0.7,0,8,1,4.0,8,ñk,8,1,0.72,8,1,57,8,1,4.5,8,1
2008/12/6 17:00:00,2.8,8,1,0,1,8,1,0.0,0,8,1,4.2,8,ñk,8,1,0.10,8,1,58,8,1,4.3,8,1
2008/12/6 18:00:00,2.0,8,1,0,1,8,1,0.0,0,8,1,2.3,8,ñkñkêº,8,1,0.00,8,1,64,8,1,4.5,8,1
2008/12/6 19:00:00,1.3,8,1,0,1,8,1,0,1,8,1,1.7,8,ñkêº,8,1,0,8,1,68,8,1,4.6,8,1
2008/12/6 20:00:00,0.5,8,1,0,1,8,1,0,1,8,1,1.1,8,êºñkêº,8,1,0,8,1,73,8,1,4.6,8,1
2008/12/6 21:00:00,0.0,8,1,0,1,8,1,0,1,8,1,0.5,8,ìåìÏìå,8,1,0,8,1,78,8,1,4.8,8,1
2008/12/6 22:00:00,-0.7,8,1,0,1,8,1,0,1,8,1,0.2,8,ê√â∏,8,1,0,8,1,82,8,1,4.8,8,1
2008/12/6 23:00:00,-0.7,8,1,0,1,8,1,0,1,8,1,0.9,8,ñk,8,1,0,8,1,86,8,1,5.0,8,1
2008/12/7 00:00:00,-1.1,8,1,0,1,8,1,0,1,8,1,1.0,8,ñk,8,1,0,8,1,84,8,1,4.7,8,1
2008/12/7 1:00:00,-1.4,8,1,0,1,8,1,0,1,8,1,1.2,8,ñkñkêº,8,1,0,8,1,85,8,1,4.7,8,1
2008/12/7 2:00:00,-1.7,8,1,0,1,8,1,0,1,8,1,1.9,8,ñk,8,1,0,8,1,83,8,1,4.5,8,1
2008/12/7 3:00:00,-2.0,8,1,0,1,8,1,0,1,8,1,1.7,8,ñkñkêº,8,1,0,8,1,84,8,1,4.4,8,1
2008/12/7 4:00:00,-2.0,8,1,0,1,8,1,0,1,8,1,1.8,8,ñkñkêº,8,1,0,8,1,82,8,1,4.3,8,1
2008/12/7 5:00:00,-2.2,8,1,0,1,8,1,0,1,8,1,1.7,8,ñk,8,1,0,8,1,82,8,1,4.3,8,1
2008/12/7 6:00:00,-2.6,8,1,0,1,8,1,0,1,8,1,1.4,8,ñk,8,1,0,8,1,85,8,1,4.3,8,1
2008/12/7 7:00:00,-2.4,8,1,0,1,8,1,0,1,8,1,1.8,8,ñkñkêº,8,1,0.00,8,1,81,8,1,4.2,8,1
2008/12/7 8:00:00,-1.1,8,1,0,1,8,1,0.7,0,8,1,2.4,8,ñk,8,1,0.17,8,1,76,8,1,4.3,8,1
2008/12/7 9:00:00,1.0,8,1,0,1,8,1,1.0,0,8,1,1.9,8,ñkñkìå,8,1,0.79,8,1,65,8,1,4.3,8,1
2008/12/7 10:00:00,4.0,8,1,0,1,8,1,1.0,0,8,1,0.5,8,ñk,8,1,1.41,8,1,54,8,1,4.4,8,1
2008/12/7 11:00:00,6.7,8,1,0,1,8,1,1.0,0,8,1,1.9,8,ñkìå,8,1,1.86,8,1,45,8,1,4.4,8,1
2008/12/7 12:00:00,7.3,8,1,0,1,8,1,1.0,0,8,1,3.2,8,ñkñkìå,8,1,2.13,8,1,40,8,1,4.1,8,1
2008/12/7 13:00:00,7.7,8,1,0,1,8,1,1.0,0,8,1,1.8,8,ñkñkìå,8,1,2.17,8,1,35,8,1,3.7,8,1
2008/12/7 14:00:00,8.4,8,1,0,1,8,1,1.0,0,8,1,1.8,8,ìÏ,8,1,1.95,8,1,36,8,1,4.0,8,1
2008/12/7 15:00:00,8.9,8,1,0,1,8,1,1.0,0,8,1,1.0,8,ìÏ,8,1,1.52,8,1,38,8,1,4.3,8,1
2008/12/7 16:00:00,8.9,8,1,0,1,8,1,1.0,0,8,1,0.7,8,ñk,8,1,0.92,8,1,38,8,1,4.3,8,1
2008/12/7 17:00:00,8.2,8,1,0,1,8,1,1.0,0,8,1,0.9,8,ìå,8,1,0.28,8,1,42,8,1,4.6,8,1
2008/12/7 18:00:00,6.0,8,1,0,1,8,1,0.0,0,8,1,1.4,8,êºñkêº,8,1,0.00,8,1,57,8,1,5.3,8,1
2008/12/7 19:00:00,4.6,8,1,0,1,8,1,0,1,8,1,1.1,8,ñk,8,1,0,8,1,64,8,1,5.4,8,1
2008/12/7 20:00:00,4.1,8,1,0,1,8,1,0,1,8,1,2.0,8,ñk,8,1,0,8,1,67,8,1,5.5,8,1
2008/12/7 21:00:00,3.3,8,1,0,1,8,1,0,1,8,1,2.3,8,ñk,8,1,0,8,1,69,8,1,5.3,8,1
2008/12/7 22:00:00,2.9,8,1,0,1,8,1,0,1,8,1,2.7,8,ñk,8,1,0,8,1,68,8,1,5.1,8,1
2008/12/7 23:00:00,1.9,8,1,0,1,8,1,0,1,8,1,2.6,8,ñkñkìå,8,1,0,8,1,77,8,1,5.4,8,1
2008/12/8 00:00:00,1.7,8,1,0,1,8,1,0,1,8,1,2.4,8,ñkñkìå,8,1,0,8,1,76,8,1,5.3,8,1
2008/12/8 1:00:00,1.8,8,1,0,1,8,1,0,1,8,1,2.1,8,ñkñkêº,8,1,0,8,1,75,8,1,5.2,8,1
2008/12/8 2:00:00,1.9,8,1,0,1,8,1,0,1,8,1,1.6,8,êºñkêº,8,1,0,8,1,78,8,1,5.5,8,1
2008/12/8 3:00:00,0.7,8,1,0,1,8,1,0,1,8,1,1.3,8,ñkìå,8,1,0,8,1,85,8,1,5.5,8,1
2008/12/8 4:00:00,1.1,8,1,0,1,8,1,0,1,8,1,2.7,8,ñk,8,1,0,8,1,81,8,1,5.4,8,1
2008/12/8 5:00:00,1.4,8,1,0,1,8,1,0,1,8,1,2.6,8,ñkñkìå,8,1,0,8,1,79,8,1,5.3,8,1
2008/12/8 6:00:00,1.4,8,1,0,1,8,1,0,1,8,1,2.6,8,ñk,8,1,0,8,1,80,8,1,5.4,8,1
2008/12/8 7:00:00,1.8,8,1,0,1,8,1,0,1,8,1,1.6,8,ñkñkêº,8,1,0.00,8,1,82,8,1,5.7,8,1
2008/12/8 8:00:00,3.5,8,1,0,1,8,1,0.0,0,8,1,1.7,8,ñkñkêº,8,1,0.09,8,1,74,8,1,5.8,8,1
2008/12/8 9:00:00,4.5,8,1,0,1,8,1,0.0,0,8,1,0.7,8,ñkñkìå,8,1,0.18,8,1,75,8,1,6.3,8,1
2008/12/8 10:00:00,4.8,8,1,0.0,0,8,1,0.0,0,8,1,1.1,8,ñkñkìå,8,1,0.13,8,1,80,8,1,6.9,8,1
2008/12/8 11:00:00,6.4,8,1,0.0,0,8,1,0.0,0,8,1,1.3,8,ìÏ,8,1,0.19,8,1,76,8,1,7.3,8,1
2008/12/8 12:00:00,5.5,8,1,1.0,0,8,1,0.0,0,8,1,0.6,8,ìåñkìå,8,1,0.21,8,1,90,8,1,8.1,8,1
2008/12/8 13:00:00,6.1,8,1,2.0,0,8,1,0.0,0,8,1,1.8,8,ñkñkêº,8,1,0.19,8,1,94,8,1,8.9,8,1
2008/12/8 14:00:00,6.9,8,1,1.5,0,8,1,0.0,0,8,1,1.0,8,ñk,8,1,0.21,8,1,94,8,1,9.4,8,1
2008/12/8 15:00:00,7.7,8,1,0.0,0,8,1,0.0,0,8,1,1.1,8,ñkñkìå,8,1,0.34,8,1,94,8,1,9.9,8,1
2008/12/8 16:00:00,8.6,8,1,0.5,0,8,1,0.0,0,8,1,1.1,8,ñkêº,8,1,0.15,8,1,92,8,1,10.3,8,1
2008/12/8 17:00:00,9.0,8,1,0,1,8,1,0.0,0,8,1,2.2,8,ñkñkêº,8,1,0.05,8,1,91,8,1,10.4,8,1
2008/12/8 18:00:00,8.4,8,1,0.0,0,8,1,0.0,0,8,1,0.8,8,ñkìå,8,1,0.00,8,1,92,8,1,10.1,8,1
2008/12/8 19:00:00,8.2,8,1,0,1,8,1,0,1,8,1,1.8,8,ñkñkìå,8,1,0,8,1,95,8,1,10.3,8,1
2008/12/8 20:00:00,8.0,8,1,0,1,8,1,0,1,8,1,1.2,8,ñkìå,8,1,0,8,1,96,8,1,10.3,8,1
2008/12/8 21:00:00,7.8,8,1,0,1,8,1,0,1,8,1,1.0,8,ìå,8,1,0,8,1,96,8,1,10.2,8,1
2008/12/8 22:00:00,7.7,8,1,0,1,8,1,0,1,8,1,0.9,8,ñkñkìå,8,1,0,8,1,96,8,1,10.1,8,1
2008/12/8 23:00:00,7.6,8,1,0,1,8,1,0,1,8,1,0.4,8,ñkñkìå,8,1,0,8,1,96,8,1,10.0,8,1
2008/12/9 00:00:00,7.6,8,1,0,1,8,1,0,1,8,1,0.8,8,ñkñkìå,8,1,0,8,1,96,8,1,10.0,8,1
2008/12/9 1:00:00,7.6,8,1,0.0,0,8,1,0,1,8,1,1.6,8,ìå,8,1,0,8,1,96,8,1,10.0,8,1
2008/12/9 2:00:00,7.7,8,1,0.0,0,8,1,0,1,8,1,2.2,8,ñkñkìå,8,1,0,8,1,95,8,1,10.0,8,1
